관리번호,횡단보도폭,횡단보도길이,관할지역
2022120116,4.75,5.69,호계3동
2022120117,6.99,8.55,호계3동
2022120118,18.01,18.51,호계3동
2022120119,5.03,6.41,호계3동
2022120120,3.61,3.73,호계3동
2022120121,3.1,5.08,호계3동
2022120122,6.4,6.55,호계3동
2022120123,3.51,4.21,호계1동
2022120124,12.43,16.01,호계3동
2022120125,24.14,24.78,호계3동
2022120126,7.82,13.76,호계3동
2022120127,7.31,7.77,호계3동
2022120128,9.58,12.97,호계3동
2022120129,9.14,13.5,호계3동
2022120130,6.59,9.25,호계3동
2022120131,7.13,7.76,호계1동
2022120132,3.57,4.49,호계3동
2022120133,14.65,14.76,호계3동
2022120134,7.74,7.79,호계3동
2022120135,11.58,17.98,호계1동
2022120136,16.49,18.1,호계1동
2022120137,8.25,9.41,호계3동
2022120138,6.45,10.05,호계3동
2022120139,6.82,8.8,호계3동
2022120140,6.51,10.06,호계3동
2022120141,7.06,11.18,호계3동
2022120142,6.5,7.97,호계3동
2022120143,4.62,4.93,호계3동
2022120144,15.01,15.32,호계3동
2022120145,22.2,30.88,호계1동
2022120146,7.27,7.8,호계3동
2022120147,4.95,7.32,호계1동
2022120148,4.31,7.09,호계1동
2022120149,4.56,8.4,호계1동
2022120150,4.63,8.38,호계1동
2022120151,4.37,7.34,호계1동
2022120152,19.62,21.4,호계1동
2022120153,6.29,7.91,호계1동
2022120154,4.86,8.24,호계1동
2022120155,4.84,8.42,호계1동
2022120156,4.53,8.41,호계1동
2022120157,6.43,9.46,호계1동
2022120158,2.24,6.05,호계1동
2022120159,5.04,8.52,호계1동
2022120160,13.4,22.1,호계1동
2022120161,14.26,38.95,호계3동
2022120162,4.62,7.33,호계1동
2022120163,4.57,8.29,호계1동
2022120164,4.39,6.95,호계1동
2022120165,4.48,7.63,호계1동
2022120166,3.96,7.15,호계1동
2022120167,7.81,13.64,호계1동
2022120168,10.06,13.07,호계1동
2022120169,8.21,14.59,호계1동
2022120170,9.72,13.01,호계1동
