개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3830000,202238300000101756,간이화장실,법제3조제5호,간촌약수터 화장실,,경기도 안양시 동안구 관양동 1776,1,2,0,0,0,0,2,0,0,안양시 동안구 교통녹지과,03180454512,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2024-02-15 14:43:40
3830000,202238300000101758,공중화장실,,갈뫼어린이공원 공중화장실,경기도 안양시 만안구 안양로 475번길 51,경기도 안양시 만안구 석수동 295-1,3,2,2,0,0,2,3,3,0,안양시 공원관리과,03180455286,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:42:42
3830000,202238300000101759,공중화장실,,갈산동 행정복지센터 화장실,경기도 안양시 동안구 흥안대로223번길 30,,2,2,0,0,0,0,2,0,0,갈산동 행정복지센터,03180454760,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101760,공중화장실,,개나리어린이공원 공중화장실,경기도 안양시 만안구 안양로 343번길 57-7,경기도 안양시 만안구 안양동 873-39,3,2,3,0,0,2,3,3,0,안양시 공원관리과,03180455286,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:42:26
3830000,202238300000101762,공중화장실,,공작어린이공원 공중화장실,,경기도 안양시 동안구 관양동 1587-1,1,2,1,0,0,0,2,1,0,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101763,공중화장실,법제3조제1호,관악산 자연학습장 화장실,,경기도 안양시 동안구 비산동 산 139,1,1,0,0,0,0,2,0,0,안양시 동안구 교통녹지과,03180454512,상시,,,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 17:52:12
3830000,202238300000101764,공중화장실,법제3조제1호,관악수목원 공중화장실,,경기도 안양시 만안구 석수동 산11,1,4,0,0,0,0,3,1,0,안양시 만안구 교통녹지과,03180453511,상시,,,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 17:47:26
3830000,202238300000101765,공중화장실,,관악어린이공원 공중화장실,,경기도 안양시 동안구 비산동 1102-6,2,2,1,0,0,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101766,공중화장실,,관악역(1호선) 공중화장실,경기도 안양시 만안구 경수대로1273번길 46,,3,3,0,0,0,0,10,0,0,관악역,0314717788,,00:00~00:00,,공공기관-국가공공기관,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101767,공중화장실,법제3조제16호-영제3조제1항제1호,관양동 행정복지센터 공중화장실,경기도 안양시 동안구 관평로 358번길 46,경기도 안양시 동안구 관양동 1407-1,4,2,3,4,0,0,10,2,0,관양동 행정복지센터,03180454650,정시,09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 15:48:29
