"자전거 보관소 현황(동안구)"

;[1]
"행정구역","번호","설치장소","대  수","비  고"
"합계",,"동안구 146개소","3,595",""
"비산1동","소계","비산1동 2개소","28",""
,"1","비산1동 행정복지센터","14",""
,"2","롯데리아 상가 앞","14",""
"비산2동","소계","비산2동 2개소","47","　"
,"3","비산2동 행정복지센터","12",""
,"4","비산동 이마트 앞","35","　"
"비산3동","소계","비산3동 6개소","302","　"
,"5","비산3동 국민은행 앞","8",""
,"6","비산3동 행정복지센터","7","　"
,"7","종합운동장내 수영장","49","　"
,"8","종합운동장 남문 앞","7","　"
,"9","이조설렁탕 앞","7",""
,"10","안양종합운동장 내","224",""
"부흥동","소계","부흥동 6개소","207","　"
,"11","청소년수련관(정문)","24",""
,"12","청소년수련관(옆)","64","　"
,"13","부흥초등학교 옆","88","　"
,"14","부흥중학교 앞","14","　"
,"15","부흥동 행정복지센터","7","　"
,"16","평화공원내","10",""
"달안동","소계","달안동 19개소","278","　"
,"17","학운공원내","9",""
,"18","KT안양지사 앞","10",""
,"19","학운공원 육교 밑","14","　"
,"20","신용보증기금","7","　"
,"21","희성초등학교 입구","14","　"
,"22","학운공원 축구장 옆","7","　"
,"23","달안동 행정복지센터","7","　"
,"24","우체국옆 보도","14","　"
,"25","샛별한양A입구","9",""
,"26","한양스포츠 상가입구","17","　"
,"27","메트로칸 옆","24","　"
,"28","메트로칸 출입구","44","　"
,"29","동안구청, 보건소","14",""
,"30","동안구청 지하주차장","30",""
,"31","동안구청 민원봉사실 앞","14",""
,"32","동안구청 민원봉사과 옆","7",""
,"33","동안구청내 주차장 입구","14",""
,"34","BYC앞","14",""
,"35","학운공원내 화장실 옆","9",""
"관양동","소계","관양동 5개소","231","　"
,"36","인덕원지구대 앞","7",""
,"37","인덕원역 8번출구","127","　"
,"38","관악대로 지센앞","17",""
,"39","관양1동 관양고등학교 앞","70",""
,"40","관양1동 행정복지센터","10",""
"인덕원동","소계","인덕원동 13개소","267","　"
,"41","학의천변(인덕원초교앞)","20",""
,"42","인덕원역 7번출구","26",""
,"43","인덕원역 6번출구","14",""
,"44","인덕원역 5번출구","33",""
,"45","인덕원역 4번출구","8",""
,"46","인덕원역 3번출구 차도","28",""
,"47","인덕원역 3번출구 보도","56",""
,"48","인덕원역 7번출구 인덕원성당옆","16",""
,"49","인덕원역 1번출구 1-2","12",""
,"50","인덕원역 1번출구 1-1","12",""
,"51","인덕원동 행정복지센터","18",""
,"52","두산벤쳐다임 앞","16",""
,"53","신성교회옆 서현빌딩앞","8",""
"부림동","소계","부림동 38개소","1,021",""
,"54","부림동 행정복지센터","7",""
,"55","평촌역 광장 분수대","7",""
,"56","평촌공원 입구","8",""
,"57","평촌 정보산업고","24",""
,"58","평촌 이마트 출입구","30",""
,"59","평촌 이마트 앞","30",""
,"60","평촌 이마트 옆","30",""
,"61","평촌 이마트 뒤","150",""
,"62","평촌역 1번출구 1-2","20",""
,"63","평촌역 1번출구 1-1","15",""
,"64","평촌역 3번 출구","20",""
,"65","평촌역 4번 출구","32",""
,"66","평촌역 동아프라자","10",""
,"67","평촌역 김밥천국 골목","34",""
,"68","평촌시립도서관","17",""
,"69","평촌시립도서관","55",""
,"70","구)조선일보 앞","9",""
,"71","한솔센트럴파크 앞","14",""
,"72","안양시청내 민원실 앞","14",""
,"73","안양시청내 민원실 앞","28",""
,"74","안양시청내 매점입구","14",""
,"75","안양시청내 하수과 앞","7",""
,"76","안양시청내 지하주차장","107",""
,"77","한가람한양아파트 앞","28",""
,"78","아크로타워 우체국","14",""
,"79","아크로타워 내 B동","60",""
,"80","아크로타워 내 A동","65",""
,"81","시청앞 미관광장","9",""
,"82","시청앞 미관광장","14",""
,"83","베스타운타워 앞","20",""
