"자전거 보관소 현황(만안구)"

;[1]
"행정구역","번호","설치장소","대  수","비  고"
"합계",,"만안구 46개소","1,871","　"
"안양1동","소계","안양1동 5개소","428",""
,"1","안양역 2,3번출구 사이","100","1"
,"2","안양역 1번출구 앞(메타볼쪽)","182","2"
,"3","안양1동 행정복지센터","14","3"
,"4","비산고가 아래","20",""
,"5","안양역 메타볼자전거주차장","112","4"
"안양2동","소계","안양2동 4개소","303",""
,"6","안양2동 행정복지센터-1","7 ","5"
,"7","안양2동 행정복지센터-2","7 ","6"
,"8","수암복개 공영주차장","7",""
,"9","양명고등학교","282","7"
"안양3동","소계","안양3동 2개소","14","　"
,"10","안양3동 행정복지센터","7","8"
,"11","양지경로당","7","9"
"안양4동","소계","안양4동 3개소","34",""
,"12","안양4동 행정복지센터앞","14 ","10"
,"13","삼덕공원","14","11"
,"14","메세포스빌뒤","6","12"
"안양5동","소계","안양5동 1개소","7",""
,"15","안양5동 행정복지센터앞","7","13"
"안양6동","소계","안양6동 5개소","59",""
,"16","만안구청","14","14"
,"17","만안보건소","10","15"
,"18","명학역 육교 건너편(육교밑 -구청쪽)","8",""
,"19","명학역 육교 건너편(육교밑 -성결대쪽)","20",""
,"20","안양6동 행정복지센터","7","17"
"안양7동","소계","안양7동 2개소","174",""
,"21","명학역 역사내","164","18"
,"22","안양7동 행정복지센터","10","19"
"안양8동","소계","안양8동 1개소","10",""
,"23","안양8동 행정복지센터","10","20"
"석수1동","소계","석수1동 6개소","280",""
,"24","안양예술공원내 공영주차장","48",""
,"25","관악역 2번출구(1호선 건너편, 공영주차장)","167","21"
,"26","석수1동 행정복지센터","14","22"
,"27","삼성초등학교 건너편(하천옆)","21",""
,"28","경수대로 e-편한세상 상가앞","20",""
,"29","삼막로변 쉼터","10",""
"석수2동","소계","석수2동 10개소","457",""
,"30","관악역 1번출구(1호선 횡단전, 공영주차장앞)","29","23"
,"31","관악역 1번출구(1호선 횡단전, 서울방향)","25","24"
,"32","석수역 1번출구 건너편 육교계단 밑","21",""
,"33","석수역 1번출구 앞","30",""
,"34","석수역 2번출구(만안구청 방향)","192",""
,"35","석수역 2번출구(서울방향)","48",""
,"36","석수역 2번출구(서울방향 역사쪽)","14",""
,"37","석수도서관","35",""
,"38","연현초등학교 앞","51",""
,"39","석수2동 행정복지센터(임시보관소)","12",""
"충훈동","소계","충훈동 4개소","64",""
,"40","충훈동 행정복지센터","7 ","　"
,"41","안양중학교","40 ",""
,"42","충훈2교 옆","10",""
,"43","충훈공원 옆","7",""
"박달1동","소계","박달1동 2개소","18",""
,"44","박달소공원(행정복지센터 옆)","8 ",""
,"45","박달 시장 제1 공영주차장","10",""
"박달2동","소계","박달2동 1개소","23",""
,"46","박달2동 행정복지센터","23",""
;








"자전거 공기주입기 현황[만안구) "

;[2]
"번호","위치","형식",,"비고 (설치년월)"
,,"전동식","수동식",
"계","총 29개소","28","24","수동식, 3구 (2024. 5.)"
"1","명학역 자전거 보관소","O","O","2018. 10."
"2","만안구청 정문 ","O","O","2018. 10."
"3","안양4동 주민센터","O","O","2025. 02."
"4","안양역 1번 출구(메타볼)","O","O","2018. 10."
"5","안양역 2번 출구(래미안A)","O","O","2019. 10."
"6","충훈2교 카페테리아","O","O","2018. 10."
"7","관악역 1번 출구","O","O","2018. 10."
"8","관악역 2번 출구 ","O","O","2016. 11."
"9","석수역 2번 출구","O","O","2018. 10."
"10","안양5동 주민센터","O","X","2017. 09."
"11","안양7동 (덕천래미안) 하천진입로","O","O","2017. 09."
"12","석수2동 주민센터","O","O","2017. 09."
"13","안양3동 주민센터","O","X","2017. 03."
"14","박달2동 주민센터","O","X","2017. 03."
"15","박달1동 주민센터","O","O","2025. 05."
"16","석수1동 주민센터","O","O","2017. 09."
"17","안양2동 주민센터","O","O","2019. 08."
"18","안양6동 주민센터","O","X","2019. 08."
"19","안양7동 주민센터","O","O","2019. 12."
"20","안양8동 주민센터","O","X","2025. 05."
"21","안양9동 주민센터","O","O","2025. 02."
"22","안양천 삼성교","O","O","2019. 08."
"23","생태이야기관","O","O","2019. 08."
"24","충훈동 주민센터","O","O","2019. 12."
"25","만안종합사회복지회관","O","O","2019. 12."
"26","석수도서관","O","O","2019. 12."
"27","석수동477-3(연현마을)","O","O","2017. 09."
"28","경남아너스빌 옆 천변","O","O","2020. 04."
"29","안양7동 메가트리아 일원","X","O","2025. 02"
;
